Peak,p-value,q-value,B1050328-154-CRE KP,B1050603-077-CRE KP,B1050723-021-CRE KP,B1050902-121-CRE KP,B1060202-094-CRE KP,B1060217-087-CRE KP,B1060311-004-CRE KP,B1060429-067-CRE KP,B1060522-013-CRE KP,B1060606-077-CRE KP,B1060704-084-CRE KP,B1061002-071-CRE KP,B1061025-055-CRE KP,M1050108-162-CRE KP,M1050123-092-CRE KP,M1050128-177-CRE KP,M1050314-245-CRE KP,M1050420-111-CRE KP,M1050501-018-CRE KP,M1050824-079-CRE KP,M1050926-240-CRE KP,M1051122-089-CRE KP,M1051223-071-CRE KP,M1051230-039-CRE KP,M1060108-042-CRE KP-2,M1060108-060-CRE KP,M1060112-033-CRE KP,M1060118-031-CRE KP,M1060123-258-CRE KP,M1060202-212-CRE KP,M1060214-012-CRE KP,M1060226-032-CRE KP,M1060314-010-CRE KP-2,M1060421-139-CRE KP,M1060522-008-CRE KP,M1060630-118-CRE KP,M1060702-055-CRE KP,M1060716-086-CRE KP,M1060723-056-CRE KP,M1060808-110-CRE KP,M1060810-148-CRE KP,M1060814-076-CRE KP,M1060815-124-CRE KP,M1060908-027-CRE KP,M1060912-032-CRE KP,M1061023-229-CRE KP,B1050119-108-non CRE KP,B1050125-102-non CRE KP,B1050219-053-non CRE KP-2,B1050414-116-non CRE KP,B1050422-104-non CRE KP,B1050429-048-non CRE KP,B1050704-185-non CRE KP-2,B1050714-125-non CRE KP,B1050802-057-non CRE KP,B1050906-127-non CRE KP-2,B1051019-050-non CRE KP,B1060117-004-non CRE KP,B1060125-048-non CRE KP,B1060125-147-non CRE KP,B1060126-056-non CRE KP,B1060126-097-non CRE KP-2,B1060216-038-non CRE KP,B1060223-006-non CRE KP-2,B1060223-082-non CRE KP,B1060310-011-non CRE KP-2,B1060320-165-non CRE KP,B1060326-068-non CRE KP,B1060402-034-non CRE KP,B1060404-034-non CRE KP,B1060406-071-non CRE KP,B1060409-035-non CRE KP,B1060413-035-non CRE KP,B1060421-102-non CRE KP,B1060422-055-non CRE KP,B1060429-096-non CRE KP-2,B1060508-118-non CRE KP,B1060510-109-non CRE KP,B1060512-043-non CRE KP,B1060518-059-non CRE KP,B1060518-100-non CRE KP,B1060910-039-non CRE KP,B1060919-032-non CRE KP,B1060923-134-non CRE KP,B1061015-054-non CRE KP,B1061021-093-non CRE KP,B1061025-014-non CRE KP,M1050120-162-non CRE KP,M1050401-169-non CRE KP-2,M1050912-089-non CRE KP,M1060405-181-non CRE KP-2,M1060407-138-non CRE KP,M1060410-195-non CRE KP,M1060414-167-non CRE KP-2,M1060423-047-non CRE KP
11217.68,0.173266614,0.76539096,0,0,0,0,0,0,777.6,0,0,0,0,0,0,0,0,0,0,0,0,0,9235.37,0,0,0,0,0,0,0,0,0,0,0,0,0,8321.57,2813.26,0,0,0,0,0,193439.09,0,0,0,0,59256.68,0,44065.16,0,0,0,0,0,9806.89,2695.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16471.92,0,0,0,0,0,20774.32,46507.84,15900.18,0,0,0,0,0,0,0,0,0,8367.25,0,0,3740.17,0,0,3324223.5
11450.808,1,1,111038.3,1394448.13,9534.99,12171.78,0,0,0,14378.18,27580.65,2273.34,913.76,0,0,27687.31,14257.71,13699.91,0,0,22720.77,7998.76,16823.1,32707.34,33113.07,0,2312.24,0,10350.73,10745.56,9557.76,62248.4,0,0,12978.83,0,0,0,0,0,0,0,0,93563.08,0,0,0,0,0,12048.52,4205.03,0,11351.74,0,1180529.25,59662.03,0,2248.81,0,400605.88,82632.23,19327.54,5652.32,4833.17,18067.42,0,0,0,4296.72,0,7767.37,0,0,0,0,41964.7,0,0,22536.61,14479.82,0,32772.46,36723.9,0,0,0,0,0,0,113367.54,0,0,705.26,3165.45,64314.75,3142.44,68837.97
11523.007,0.176349901,0.772055666,0,0,3360.7,42661.21,84172.69,0,0,16769.4,0,0,0,0,0,29589.95,34124.33,3424.33,0,0,794.17,23802.6,0,6929.14,0,31387.15,0,0,0,21270.16,42430.64,1712.55,5399.69,0,8199.41,0,0,0,0,0,0,0,2479.17,0,0,0,0,0,0,1716.32,0,2887.23,119252.04,0,0,600.66,0,0,0,0,0,6888.01,0,0,31779.69,0,63095.49,0,12100.15,0,0,0,0,0,4356.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13433.89,0,0,0,0,0,0,203970.14
11563.5,0.117812376,0.627905815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5264.83,0,0,0,208361.02,544129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909368.31
11769.89,0.112366101,0.630879902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5717.74,0,0,0,0,0,0,10202.59,0,0,0,0,4930.97,0,0,0,53756.98,246064.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9335.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043121.75
12054.21,0.49518477,0.992393457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15071.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13979.31
12268.005,0.102518974,0.652837275,25236.15,0,0,0,0,0,0,0,1875.78,0,0,0,0,760.11,0,0,0,0,2302.53,1316.92,0,0,0,0,0,0,0,0,0,62604.46,0,0,0,0,0,2856.85,0,0,0,0,0,248242.44,0,0,0,0,0,0,237123.16,83057.65,0,0,0,0,13108.39,0,0,1993295,2938939.25,23398.01,0,0,0,0,0,0,0,1091.35,0,0,38280.77,0,0,0,0,12229.64,2854.07,403395.44,4724.17,29605.29,71557.26,0,0,0,0,0,0,0,0,8059.29,0,0,0,0,10307124
12424.393,0.031223072,0.389229996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19536.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9686.32,18274.59,0,0,37234.59,0,0,0,205541.5,820529.56,0,0,0,0,0,0,0,0,0,0,0,8899.49,0,0,0,0,0,0,37439.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287614.34
12582.953,0.617671495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8674.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427.86,45506.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62393.15
12772.634,0.11003484,0.632270507,5632.01,0,0,0,0,0,0,0,1192.13,0,0,0,0,0,0,0,0,0,0,0,0,0,5868.22,0,0,0,0,0,0,20521.19,0,0,0,0,0,0,0,0,0,0,0,19939.71,0,0,0,0,0,0,7234.9,11677.29,10926.68,0,0,30617.8,0,0,0,221687.22,862206,0,0,0,0,0,0,0,0,0,0,0,793.92,0,0,0,0,0,0,33051.85,0,2221.63,5338.62,0,0,0,0,0,0,4921.31,0,0,0,0,0,0,2375453.75
